species_id,species_name,common_name,category,i6,i5,i1,i2,i3,i4,s1,s2,s3,s4,s5,s6,species_info,photo_hlink
w127,Thryptomene hyporhytis,,wildflower,y,n,n,n,n,n,n,n,n,y,y,y,Dwarf spreading shrub to 60cm. Masses of pink flowers Jun-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Thryptomene%20hyporhytis.jpg
w128,Verticordia chrysantha,Yellow Featherflower,wildflower,y,n,y,n,n,y,y,n,n,n,y,y,Upright shrub to 60cm x 60cm. Dazzling golden yellow flowers Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Verticordia%20chrysantha.jpg
w129,Verticordia halophila,Salt-loving Featherflower,wildflower,y,n,n,n,n,n,y,n,n,n,y,y,Bushy shrub to 60cm. Reddish pink flowers Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Verticordia%20halophila.jpg
w130,Verticordia plumosa var. plumosa,,wildflower,n,y,n,y,y,y,y,n,n,n,y,y,Erect shrub to 1m. Masses of scented pink flowers Aug-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Verticordia%20plumosa%20var.%20plumosa.jpg
w131,Waitzia acuminata,Golden Everlasting,wildflower,y,y,y,y,n,y,n,n,n,n,y,y,Everlasting erect annual herb to 50cm. Yellow/red flower Aug-Oct.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Waitzia%20acuminata.jpg
w132,Waitzia nitida,,wildflower,y,y,y,y,y,y,n,n,n,n,y,y,Everlasting erect annual herb to 50cm. Paper daisy yellow flowers Aug-Nov.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Waitzia%20nitida.jpg
w133,Xanthosia candida,,wildflower,y,y,n,y,y,y,y,n,n,n,y,y,Prostrate sprawling herb to 50cm. White flowers in the shape of a cross Sep-Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Xanthosia%20candida.jpg
w134,Xerochrysum macranthum,,wildflower,y,y,y,y,y,y,y,y,n,n,y,y,Erect soft herb to 50cm. Bright white flowers Aug-Feb.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Xerochrysum%20macranthum.jpg
w135,Caladenia macrostylis,Leaping Spider Orchid,wildflower,n,y,y,y,y,y,n,n,n,n,y,y,"Terrestrial perennial orchid with an underground tuber and a single erect, hairy leaf. Up to three pale greenish-yellow and red flowers are borne on a tall stalk, with distinctive dark centres. Flowers Aug - Nov.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Caladenia%20macrostylis.jpg
w136,Caladenia hirta,Sugar Candy Orchid,wildflower,y,y,y,y,y,y,n,n,n,y,y,y,"Terrestrial perennial orchid with a single broad, hairy leaf and up to six white or pink and white flowers with pink markings and rows of calli on the labellum. Flowers Jun - Nov.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Caladenia%20hirta.jpg
w137,Caladenia falcata,Fringed Mantis Orchid,wildflower,n,y,y,y,y,y,n,n,n,n,y,y,"Terrestrial perennial orchid with a single erect, hairy leaf. One or two large greenish-yellow flowers have prominent maroon markings. Flowers Sep - Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Caladenia%20falcata.jpg
w138,Drakaea thynniphila,Hammer Orchid,wildflower,n,n,n,n,y,y,n,n,n,n,y,y,"Terrestrial orchid with a single ground-hugging, heart-shaped leaf  and an underground tuber. A single flower with dark maroon, hairy labellum resembles a female thynnid wasp. Flowers Sep - Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Drakaea%20thynniphila.jpg
w139,Diuris corymbosa,Common Donkey Orchid,wildflower,y,y,y,y,y,y,n,n,n,n,y,y,"Tuberous perennial herb to about 20-40cm. Up to eight yellow flowers with purple and brown markings, with distinctive donkey-ear-like petals. Flowers Sep - Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Diuris%20corymbosa.jpg
w140,Stylidium breviscapum,Boomerang Triggerplant,wildflower,y,y,y,y,y,y,y,n,n,n,y,y,Creeping perennial herb forming compact clumps to about 15cm wide. White flowers with pinks markings. Flowers Aug - Dec.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Stylidium%20breviscapum.jpg
w141,Nuytsia floribunda,West Australian Christmas Tree,wildflower,y,y,y,y,y,y,y,n,n,n,n,y,Semi-parasitic small tree or shrub to about 7-10m tall. Large terminal clusters carry numerous bright orange to golden-yellow flowers from Oct - Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Nuytsia%20floribunda.jpg
w142,Anigozanthos bicolor,Little Kangaroo Paw,wildflower,y,y,y,y,y,y,n,n,n,n,y,y,"Small clumping, rhizomatous perennial herb to about 0.3-0.6m tall, with strappy leaves. Green, yellow and red tubular flowers are borne on flowering stems. Flowers Aug - Oct.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Anigozanthos%20bicolor.jpg
w143,Anigozanthos rufus,Red Kangaroo Paw,wildflower,y,y,n,y,y,y,y,n,n,n,y,y,Clump-forming evergreen perennial with strappy leaves and branched flowering stalks. Velvety tubular flowers ranging from deep red to purple or orange forms. Flowers Aug - Jan.,https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Anigozanthos%20rufus.jpg
w144,Corymbia ficifolia,Red Flowering Gum,wildflower,y,y,n,y,y,y,y,y,y,n,n,n,"Small, straggly tree to about 10m tall. Large clusters of flowers range from brilliant red and crimson. Flowers Dec-May.",https://uniwa-my.sharepoint.com/personal/23221449_student_uwa_edu_au/Documents/CITS1501%20Project/Species%20data/Species%20Photos/Corymbia%20ficifolia.jpg
